,Year,Area_Name,Crime_Code_Description
0,2013,77th Street,ASSAULT
1,2010,Olympic,THEFT
2,2013,Southeast,THEFT
3,2010,Southeast,THEFT
4,2014,Topanga,VANDALISM
5,2013,Central,MURDER
6,2010,Northeast,THEFT
7,2010,Foothill,THEFT
8,2010,Mission,THEFT
9,2013,Van Nuys,FRAUD
10,2010,Mission,THEFT
11,2010,Newton,THEFT
14,2013,N Hollywood,FRAUD
15,2013,Southeast,ASSAULT
16,2013,Central,BATTERY
17,2013,Central,ASSAULT
18,2013,Central,BATTERY
19,2013,Central,FRAUD
20,2013,Central,ASSAULT
21,2013,Central,FRAUD
22,2013,Central,ASSAULT
23,2013,Central,BATTERY
24,2013,Central,BATTERY
25,2013,Central,ASSAULT
26,2010,West Valley,THEFT
27,2013,Central,THEFT
28,2013,Central,ROBBERY
29,2013,Central,ASSAULT
30,2013,Central,SEXUAL CRIMES
31,2013,Central,ASSAULT
32,2013,Central,ASSAULT
33,2013,Central,ROBBERY
34,2013,Central,ASSAULT
35,2013,Central,VANDALISM
36,2013,Central,OTHER
37,2013,Central,OTHER
38,2013,Central,THEFT
39,2013,Central,ROBBERY
40,2010,Foothill,THEFT
41,2013,Central,FRAUD
42,2010,Northeast,THEFT
43,2013,Central,BATTERY
44,2013,Central,ASSAULT
45,2013,Central,OTHER
46,2013,Central,ASSAULT
47,2013,Central,FRAUD
48,2013,Central,OTHER
49,2013,Central,ROBBERY
50,2013,Central,ROBBERY
51,2013,Central,ROBBERY
52,2013,Central,VANDALISM
53,2013,Central,BURGLARY
54,2013,Central,ASSAULT
55,2013,Central,ASSAULT
56,2013,Central,ASSAULT
57,2013,Central,BATTERY
58,2013,Central,BATTERY
59,2013,Central,ROBBERY
60,2013,Central,THEFT
61,2013,Central,ROBBERY
62,2013,Central,BATTERY
64,2013,Central,BATTERY
65,2013,Central,ASSAULT
66,2013,Central,ROBBERY
67,2013,Central,ASSAULT
68,2013,Central,VANDALISM
69,2013,Central,ASSAULT
70,2013,Central,BATTERY
71,2013,Central,BATTERY
72,2013,Central,ASSAULT
74,2013,Central,ASSAULT
75,2013,Central,FRAUD
76,2013,Central,OTHER
77,2013,Central,ASSAULT
78,2013,Central,OTHER
79,2013,Central,ASSAULT
80,2013,Central,BATTERY
81,2013,Central,BATTERY
82,2013,Central,ROBBERY
83,2013,Central,OTHER
84,2013,Central,OTHER
85,2013,Central,BATTERY
86,2013,Central,BATTERY
87,2013,Central,VANDALISM
88,2013,Central,BATTERY
89,2013,Central,BATTERY
90,2013,Central,BURGLARY
91,2013,Central,ASSAULT
92,2010,77th Street,THEFT
93,2010,Northeast,THEFT
94,2013,Central,THEFT
95,2010,Northeast,BURGLARY
96,2010,Northeast,THEFT
97,2010,77th Street,THEFT
98,2010,77th Street,THEFT
99,2010,77th Street,THEFT
100,2010,77th Street,THEFT
101,2010,Newton,THEFT
102,2010,Newton,THEFT
103,2013,Central,BURGLARY
104,2010,Newton,THEFT
105,2010,Newton,THEFT
106,2013,Central,FAMILIAL CRIME
107,2013,Central,OTHER
108,2010,Newton,THEFT
109,2010,Newton,SEXUAL CRIMES
110,2010,Newton,THEFT
111,2010,Newton,THEFT
112,2010,Newton,THEFT
113,2013,Central,FAMILIAL CRIME
114,2010,Newton,THEFT
115,2013,Central,VANDALISM
116,2013,Central,BATTERY
117,2010,Newton,THEFT
118,2010,Newton,THEFT
119,2010,Newton,THEFT
120,2010,Newton,THEFT
121,2010,Newton,THEFT
122,2010,Pacific,ASSAULT
123,2010,Pacific,THEFT
124,2010,Pacific,THEFT
125,2010,Pacific,BURGLARY
126,2010,Pacific,THEFT
127,2010,N Hollywood,BURGLARY
128,2010,N Hollywood,OTHER
129,2013,Central,OTHER
130,2010,N Hollywood,THEFT
131,2010,Foothill,THEFT
132,2010,Foothill,THEFT
133,2010,Foothill,THEFT
134,2010,Foothill,THEFT
135,2013,Central,ASSAULT
137,2010,77th Street,THEFT
138,2010,Northeast,THEFT
139,2013,Central,BATTERY
140,2010,Newton,THEFT
141,2013,Central,BATTERY
142,2013,Central,ASSAULT
143,2013,Central,FRAUD
144,2013,Central,ROBBERY
145,2013,Central,BURGLARY
146,2010,Topanga,THEFT
147,2010,Devonshire,BURGLARY
148,2010,Devonshire,THEFT
149,2010,Devonshire,THEFT
150,2010,Southeast,THEFT
151,2010,Mission,THEFT
152,2010,Mission,THEFT
153,2013,Central,VANDALISM
154,2010,Southeast,THEFT
155,2010,Southeast,THEFT
156,2013,Central,BATTERY
157,2013,Central,OTHER
158,2010,Southeast,THEFT
159,2010,Southeast,THEFT
160,2013,Central,BATTERY
161,2013,Central,FRAUD
162,2010,Mission,THEFT
163,2010,Mission,THEFT
164,2010,Mission,THEFT
165,2010,Mission,THEFT
166,2010,Olympic,THEFT
167,2010,Olympic,THEFT
168,2010,Olympic,THEFT
169,2010,Olympic,THEFT
170,2013,Central,OTHER
171,2013,Central,OTHER
172,2013,Central,ASSAULT
173,2013,Central,BURGLARY
174,2013,Central,VANDALISM
175,2013,Central,OTHER
176,2013,Central,BATTERY
177,2013,Central,THEFT
178,2013,Central,ASSAULT
179,2013,Central,ROBBERY
180,2013,Central,BURGLARY
181,2013,Central,BURGLARY
182,2010,Topanga,THEFT
183,2013,Central,ASSAULT
185,2013,Central,BATTERY
186,2013,Central,BATTERY
187,2013,Central,ASSAULT
188,2013,Central,WEAPON
189,2013,Central,ASSAULT
190,2013,Central,BATTERY
191,2013,Central,FRAUD
192,2013,Central,OTHER
193,2013,Central,ROBBERY
194,2013,Central,OTHER
195,2013,Central,THEFT
196,2010,77th Street,THEFT
197,2013,Central,BATTERY
198,2013,Central,ROBBERY
199,2013,Central,VANDALISM
200,2013,Central,BURGLARY
201,2013,Central,VANDALISM
202,2013,Central,ASSAULT
203,2013,Central,ASSAULT
204,2010,Newton,FRAUD
205,2013,Central,ASSAULT
206,2013,Central,BATTERY
207,2013,Central,VANDALISM
208,2013,Central,ROBBERY
209,2013,Central,BURGLARY
210,2013,Central,BURGLARY
211,2013,Central,BURGLARY
212,2013,Central,BURGLARY
213,2013,Central,BATTERY
214,2013,Central,VANDALISM
215,2013,Central,SEXUAL CRIMES
216,2013,Central,VANDALISM
218,2013,Central,ROBBERY
219,2013,Central,BURGLARY
220,2013,Central,ASSAULT
221,2013,Central,ASSAULT
222,2013,Central,ASSAULT
223,2013,Central,OTHER
224,2013,Central,ASSAULT
225,2013,Central,BATTERY
226,2013,Central,VANDALISM
227,2013,Central,ASSAULT
228,2010,Newton,THEFT
229,2013,Central,ROBBERY
230,2013,Central,ASSAULT
231,2013,Central,THEFT
232,2013,Central,BATTERY
235,2013,Central,OTHER
236,2013,Central,OTHER
237,2013,Central,FRAUD
238,2013,Central,BATTERY
239,2013,Central,BATTERY
240,2013,Central,THEFT
241,2013,Central,BATTERY
242,2013,Central,BATTERY
243,2010,Newton,THEFT
244,2013,Central,ROBBERY
245,2013,Central,ROBBERY
246,2013,Central,FRAUD
247,2013,Central,ASSAULT
248,2010,Northeast,THEFT
249,2013,Central,BURGLARY
250,2010,Pacific,THEFT
251,2013,Central,BATTERY
252,2013,Central,FRAUD
253,2013,Central,FRAUD
254,2013,Central,OTHER
256,2013,Central,ASSAULT
257,2013,Central,THEFT
258,2013,Central,ASSAULT
259,2013,Central,VANDALISM
260,2013,Central,ASSAULT
261,2013,Central,BURGLARY
262,2013,Central,THEFT
263,2010,West Valley,OTHER
264,2010,Northeast,THEFT
265,2010,Northeast,THEFT
266,2010,Northeast,THEFT
267,2010,77th Street,THEFT
268,2013,Central,OTHER
269,2010,77th Street,THEFT
270,2010,77th Street,THEFT
271,2010,Newton,THEFT
272,2010,Newton,THEFT
273,2010,Foothill,THEFT
274,2013,Central,BATTERY
275,2013,Central,VANDALISM
276,2010,N Hollywood,THEFT
277,2010,N Hollywood,THEFT
278,2010,N Hollywood,THEFT
279,2010,Foothill,THEFT
280,2010,N Hollywood,THEFT
281,2013,Central,ASSAULT
282,2010,Devonshire,THEFT
283,2013,Central,ASSAULT
284,2010,N Hollywood,BURGLARY
285,2010,Devonshire,THEFT
286,2010,N Hollywood,THEFT
287,2010,N Hollywood,BURGLARY
288,2010,Southeast,THEFT
289,2010,Foothill,THEFT
290,2010,Foothill,THEFT
291,2010,Foothill,THEFT
292,2010,Foothill,THEFT
293,2010,Foothill,THEFT
294,2010,Foothill,THEFT
295,2010,Foothill,THEFT
296,2010,Foothill,THEFT
297,2010,Foothill,THEFT
298,2010,Foothill,THEFT
299,2013,Central,ASSAULT
300,2010,Devonshire,THEFT
301,2010,Foothill,THEFT
302,2010,Foothill,THEFT
303,2010,Foothill,BURGLARY
304,2010,Foothill,THEFT
305,2010,Foothill,FAMILIAL CRIME
306,2013,Central,VANDALISM
307,2013,Central,OTHER
308,2010,Devonshire,THEFT
309,2013,Central,ASSAULT
310,2010,Devonshire,THEFT
311,2010,Devonshire,THEFT
312,2010,Southeast,THEFT
313,2013,Central,ROBBERY
314,2010,Devonshire,THEFT
315,2010,Southeast,THEFT
316,2010,Devonshire,THEFT
317,2010,Southeast,THEFT
318,2010,Devonshire,THEFT
319,2013,Central,ASSAULT
321,2010,Devonshire,BURGLARY
322,2010,Devonshire,THEFT
323,2010,Devonshire,BURGLARY
324,2010,Devonshire,BURGLARY
325,2010,Devonshire,THEFT
326,2013,Central,BATTERY
327,2010,Devonshire,THEFT
328,2010,Devonshire,THEFT
329,2010,Devonshire,VANDALISM
330,2010,Devonshire,BURGLARY
331,2010,Southeast,THEFT
332,2013,Central,BATTERY
333,2013,Central,BATTERY
334,2010,Southeast,THEFT
335,2010,Mission,THEFT
336,2013,Central,BATTERY
337,2013,Central,OTHER
338,2013,Central,OTHER
339,2013,Central,MURDER
340,2013,Central,WEAPON
341,2013,Central,OTHER
342,2013,Central,BATTERY
343,2013,Central,VANDALISM
344,2010,77th Street,THEFT
345,2010,Olympic,THEFT
346,2013,Central,ASSAULT
347,2013,Central,BATTERY
348,2013,Central,VANDALISM
349,2013,Central,OTHER
350,2013,Central,FRAUD
351,2013,Central,BURGLARY
352,2013,Central,ASSAULT
353,2013,Central,ROBBERY
354,2013,Central,THEFT
355,2010,Olympic,THEFT
356,2010,Mission,THEFT
357,2010,Mission,THEFT
358,2010,Olympic,THEFT
359,2013,Central,BURGLARY
360,2013,Central,OTHER
361,2013,Central,FAMILIAL CRIME
363,2013,Central,BURGLARY
364,2013,Central,BATTERY
365,2013,Central,ROBBERY
366,2013,Central,VANDALISM
367,2013,Central,VANDALISM
368,2013,Central,OTHER
369,2013,Central,ASSAULT
370,2013,Central,ASSAULT
371,2013,Central,BATTERY
372,2013,Central,ASSAULT
373,2013,Central,BATTERY
374,2013,Central,WEAPON
375,2013,Central,WEAPON
376,2013,Central,SEXUAL CRIMES
377,2013,Central,VANDALISM
378,2013,Central,VANDALISM
379,2010,West Valley,THEFT
380,2013,Central,BURGLARY
381,2013,Central,ASSAULT
382,2013,Central,ASSAULT
383,2013,Central,ASSAULT
384,2013,Central,VANDALISM
385,2013,Central,FRAUD
386,2013,Central,ASSAULT
387,2010,West Valley,THEFT
388,2010,Topanga,THEFT
389,2010,West Valley,THEFT
390,2010,Northeast,THEFT
391,2010,Northeast,THEFT
392,2010,Northeast,THEFT
393,2010,Northeast,BURGLARY
394,2010,Northeast,OTHER
395,2010,Northeast,THEFT
396,2010,77th Street,THEFT
397,2010,77th Street,THEFT
398,2010,77th Street,THEFT
399,2013,Central,VANDALISM
400,2010,Southeast,THEFT
401,2010,Southeast,THEFT
402,2010,Southeast,THEFT
403,2010,Mission,THEFT
404,2013,Central,VANDALISM
405,2010,Topanga,THEFT
406,2013,Central,ASSAULT
408,2013,Central,FRAUD
409,2013,Central,ASSAULT
410,2013,Central,SEXUAL CRIMES
411,2013,Central,ASSAULT
412,2010,Newton,THEFT
413,2010,West Valley,THEFT
414,2013,Central,BATTERY
415,2010,Northeast,THEFT
416,2013,Central,BATTERY
417,2013,Central,ASSAULT
418,2013,Central,VANDALISM
419,2010,77th Street,THEFT
420,2010,77th Street,THEFT
421,2010,77th Street,THEFT
422,2010,West Valley,THEFT
423,2013,Central,VANDALISM
424,2010,77th Street,THEFT
425,2010,Newton,THEFT
426,2010,77th Street,THEFT
427,2010,77th Street,THEFT
428,2010,77th Street,THEFT
429,2010,77th Street,THEFT
430,2013,Central,ASSAULT
431,2010,77th Street,THEFT
432,2013,Central,VANDALISM
433,2010,Newton,BURGLARY
434,2010,Newton,THEFT
435,2013,Central,BURGLARY
436,2010,Newton,THEFT
437,2010,Newton,THEFT
439,2010,Newton,THEFT
440,2010,Newton,THEFT
441,2010,Newton,THEFT
442,2010,Newton,THEFT
443,2010,Newton,THEFT
444,2010,Newton,THEFT
445,2010,Newton,THEFT
446,2013,Central,SEXUAL CRIMES
447,2010,Newton,THEFT
448,2010,Newton,BURGLARY
449,2010,Newton,THEFT
450,2010,Newton,THEFT
451,2010,Newton,FRAUD
452,2010,Newton,OTHER
453,2010,Newton,THEFT
454,2010,Newton,BURGLARY
455,2010,Newton,BURGLARY
456,2013,Central,THEFT
457,2010,Pacific,THEFT
458,2010,Pacific,BURGLARY
459,2010,Pacific,THEFT
460,2010,Pacific,THEFT
461,2010,Pacific,BURGLARY
462,2010,Pacific,OTHER
463,2010,Pacific,THEFT
464,2013,Central,ASSAULT
465,2010,Pacific,THEFT
466,2010,Pacific,THEFT
467,2010,Pacific,THEFT
468,2010,77th Street,THEFT
470,2010,Pacific,BURGLARY
471,2010,Pacific,THEFT
472,2010,Pacific,THEFT
473,2013,Central,BATTERY
474,2010,N Hollywood,THEFT
475,2010,N Hollywood,THEFT
476,2013,Central,ASSAULT
477,2010,Foothill,THEFT
478,2010,Foothill,THEFT
479,2013,Central,ASSAULT
480,2010,Devonshire,THEFT
481,2010,Devonshire,THEFT
482,2010,Devonshire,THEFT
483,2010,Devonshire,THEFT
484,2010,Southeast,THEFT
485,2010,Southeast,THEFT
486,2010,Mission,BURGLARY
487,2010,Mission,THEFT
488,2010,Mission,THEFT
489,2010,Mission,THEFT
490,2010,Mission,BURGLARY
491,2010,Mission,THEFT
492,2010,Mission,THEFT
493,2010,Mission,THEFT
494,2010,Mission,THEFT
495,2010,Mission,THEFT
496,2010,Mission,THEFT
497,2010,Mission,BURGLARY
